Grievance_ID,Department,Location,Date,Description,Status,Resolution_Days
GRV-2026001,Public Transport & Traffic,Ward 2 (Civil Lines),2026-07-19,City bus route 45 consistently running 40 minutes late during morning peak hours.,Resolved,13.4
GRV-2026002,Water & Sanitation,Ward 4 (Indiranagar),2026-07-09,No water supply for last 3 days in Ward 12 residential block.,Resolved,3.5
GRV-2026003,Roads & Infrastructure,Ward 9 (Industrial Area),2026-07-28,Damaged traffic light junction box causing signal blackout during peak hours.,In Progress,11.1
GRV-2026004,Electricity & Power,Ward 8 (Station Road),2026-07-26,Sparking electrical transformer pole posing fire hazard near residential area.,Open,18
GRV-2026005,Public Transport & Traffic,Ward 8 (Station Road),2026-07-13,Overcrowding and insufficient bus frequency during evening office rush hours.,Resolved,1.9
GRV-2026006,Water & Sanitation,Ward 21 (West Suburbs),2026-07-26,Contaminated drinking water with brown sediment coming out of tap in household.,Resolved,10.5
GRV-2026007,Roads & Infrastructure,Ward 9 (Industrial Area),2026-07-12,Damaged traffic light junction box causing signal blackout during peak hours.,Open,20
GRV-2026008,Water & Sanitation,Ward 15 (North Extension),2026-07-04,Illegal water pipeline connection causing pressure drop across sector 4.,In Progress,13.0
GRV-2026009,Public Transport & Traffic,Ward 21 (West Suburbs),2026-07-25,Auto-rickshaws charging extra fare and refusing meter near railway station.,Pending Inspection,6
GRV-2026010,Roads & Infrastructure,Ward 8 (Station Road),2026-07-30,Road construction work left abandoned without warning barricades or signs.,In Progress,6.4
GRV-2026011,Public Transport & Traffic,Ward 9 (Industrial Area),2026-07-02,City bus route 45 consistently running 40 minutes late during morning peak hours.,In Progress,11.6
GRV-2026012,Electricity & Power,Ward 18 (Lakeview Colony),2026-07-10,Sparking electrical transformer pole posing fire hazard near residential area.,Open,18
GRV-2026013,Roads & Infrastructure,Ward 8 (Station Road),2026-07-26,Damaged traffic light junction box causing signal blackout during peak hours.,In Progress,10.6
GRV-2026014,Electricity & Power,Ward 15 (North Extension),2026-07-15,High voltage fluctuation damaging home electrical appliances in neighborhood.,Open,24
GRV-2026015,Public Transport & Traffic,Ward 8 (Station Road),2026-07-04,Auto-rickshaws charging extra fare and refusing meter near railway station.,In Progress,8.6
GRV-2026016,Public Transport & Traffic,Ward 15 (North Extension),2026-07-24,Auto-rickshaws charging extra fare and refusing meter near railway station.,In Progress,8.2
GRV-2026017,Waste & Sanitation,Ward 9 (Industrial Area),2026-07-09,Open dumping of hotel food waste on empty plot creating health hazard.,In Progress,10.6
GRV-2026018,Electricity & Power,Ward 15 (North Extension),2026-07-11,Sparking electrical transformer pole posing fire hazard near residential area.,Open,21
GRV-2026019,Electricity & Power,Ward 2 (Civil Lines),2026-07-09,Sparking electrical transformer pole posing fire hazard near residential area.,In Progress,2.0
